guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair,dislocated,numprec,prdis
05712354-a1f2-43fc-a0f1-37f4918eee64,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,204735.0,2003,RC,99084.72798089328,372.4932927921698,,,
7f6f00f2-293a-4e85-b59e-8cdbb788a05c,0.9565507145901454,0.6982421737671867,0.1764257370648044,0.0434492854098546,0.2583085408229587,0.5218164367023822,0.1764257370648044,Earthquake+Tsunami,235966.0,2003,RC,114688.27134931197,374.3930250904504,,,
2c89124a-cd75-49f6-bfb9-34f7b5c5620c,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,307253.0,2003,RC,148699.9288168286,372.4932927921698,,,
adc3d874-6f6c-4235-a232-9c722edf6b14,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,287151.0,2003,RC,138971.24929514487,372.4932927921698,,,
9db50a52-2f90-4954-bfb3-1ec56399dd75,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,268366.0,2003,RC,129879.95266720591,372.4932927921698,,,
46b62286-a9c3-4ae1-b60d-d35414728736,0.9591088223062678,0.7125056423380928,0.1825902752939364,0.0408911776937321,0.246603179968175,0.5299153670441563,0.1825902752939364,Earthquake+Tsunami,250810.0,2003,RC,123953.47435081324,381.9290081895312,,,
0bc44ce6-8929-4a0b-93de-e15154d7aa41,0.9591088223062678,0.7125056423380928,0.1825902752939364,0.0408911776937321,0.246603179968175,0.5299153670441563,0.1825902752939364,Earthquake+Tsunami,234402.0,2003,RC,115844.4332154991,381.9290081895312,,,
8a62f6ca-e6a7-4caa-9fd5-9ab150d4e935,0.9591088223062678,0.7125056423380928,0.1825902752939364,0.0408911776937321,0.246603179968175,0.5299153670441563,0.1825902752939364,Earthquake+Tsunami,219067.0,2003,RC,108265.68225194214,381.9290081895312,,,
17b443ce-871b-4071-89d4-cf1ce833cafc,0.9591088223062678,0.7125056423380928,0.1825902752939364,0.0408911776937321,0.246603179968175,0.5299153670441563,0.1825902752939364,Earthquake+Tsunami,204735.0,2003,RC,101182.6265747528,381.9290081895312,,,
188e4a16-879a-459b-9083-f550a5fea396,0.9464091181617704,0.6425774980509861,0.1582530710858261,0.0535908818382296,0.3038316201107842,0.4843244269651598,0.1582530710858261,Earthquake+Tsunami,168304.0,2003,RC,76774.90821670428,347.37311444266777,,,
